workerId	assignmentId	Treatment	Time	KnewAboutMoodStudy	AwareThisStudy_BotnetSpam	AwareThisStudy_Facebook	AwareThisStudy_OSCredentialSpoofing	AwareThisStudy_SocialPhishing	AwareThisStudy_WarningsDeception	PrevParticipated_BotnetSpam	PrevParticipated_Facebook	PrevParticipated_OSCredentialSpoofing	PrevParticipated_SocialPhishing	PrevParticipated_WarningsDeception	Proceed_BotnetSpam	Proceed_Facebook	Proceed_OSCredentialSpoofing	Proceed_SocialPhishing	Proceed_WarningsDeception	Surrogate_BotnetSpam	Surrogate_Facebook	Surrogate_OSCredentialSpoofing	Surrogate_SocialPhishing	Surrogate_WarningsDeception	XplainProceed_BotnetSpam	XplainProceed_Facebook	XplainProceed_OSCredentialSpoofing	XplainProceed_SocialPhishing	XplainProceed_WarningsDeception	XplainSurrogate_BotnetSpam	XplainSurrogate_Facebook	XplainSurrogate_OSCredentialSpoofing	XplainSurrogate_SocialPhishing	XplainSurrogate_WarningsDeception
A142ZRU284W9O	3LEIZ60CDJ0LQ2SC0D8SGTKXG9R9ZI	Control	233	no	no	no	no	no	no	no	no	no	no	no	unsure	yes	yes	yes	yes	no	indifferent	yes	yes	yes	Depends if the compensation is enough to make it worthwhile.	They're a private company so they can do whatever they want within their own terms of service.				I don't want them to get a computer virus.				
A1433R46IE0LRD	3URFVVM165JJAUGFYO3JCP7BTP6ZUU	Twitter	4347	yes	no	yes	no	no	no	no	no	no	no	no	yes	no	caution	no	caution	no	no	indifferent	no	indifferent	It could reveal that spam is an ineffective marketing tactic, resulting in lowered spam			It seems to be an invasion of privacy to access the students' accounts.	Depending on how they measure how users react to the warnings		It would be quite manipulative.			
A1452QBFY1EEAK	3137ONMDKG62UHOOIW0PN052WDUGEL	UnnamedCompany	590	no	no	no	no	no	no	no	no	no	no	no	caution	caution	caution	yes	caution	yes	yes	yes	yes	yes										
A147OD7J2IK8LU	3G2UL9A02DFFO9K8JBDX5Z0WGKD76U	InsertOnlyPostiveposts	1968	no	no	no	no	no	no	no	no	no	no	no	no	no	caution	caution	caution	no	no	yes	indifferent	indifferent	While the information would be beneficial to gain, I question the ability of the researchers to maintain control of the environment and risk factors involved.  The level of risk to the participants is too great.					My wife has been the victim of identity theft and the experience was emotionally taxing on her.				
A149MN8UN8O976	3SLE99ER0NE4EV79YXMO7ZFN44ZZBD	Control	579	no	no	no	no	no	no	no	no	no	no	no	yes	caution	yes	yes	yes	yes	no	yes	yes	yes	The research is worthwhile and participants will not be harmed (whereas if the spam site were real they would be)	The researchers should utilize an "opt-in" feature, with participants who elect to opt-in to the research receiving some incentive to do so.	Since no one would be harmed and the research yielded would be valuable.	Yes, for the same reasons above.	Yes, for the same reasons above.	Even though it would pain me to see someone I cared about (like my grandmother, for example) duped by scammers, at least it would be in the context of a "safe" spam site and in the pursuit of knowledge that would help develop anti-spam measures in the future.	As far as I can tell from the description, there is no real benefit to any of the candidates for participation.  Candidates should be compensated in some way if their data is going to be used by facebook to develop new features.	Despite the initial necessary deception involved, no harm would be done and the end goal is very worthwhile.	No harm would be done and the research yielded would be worthwhile.	Because no harm would be done and the research yielded would be worthwhile
A149ROBL26JWPJ	3U4J9857OECLUL13F2U5GFMOUBY7B5	WithoutPublication	652	yes	no	yes	no	no	no	no	no	no	no	no	caution	yes	yes	caution	caution	yes	yes	yes	yes	yes	Subjects should be informed and debriefed so their future computing actions are not affected.			People would have to be carefully informed and debriefed.	People should be carefully informed and debriefed at the appropriate times.	It seems like a fairly interesting study to me.	It seems kind of interesting, albeit sort of useless.		It seems rather interesting.	It seem pretty interesting to me.
A14BVED75ZFI4O	3FFJ6VRIL1PHZIFP0D1DNNGEHRZ0I2	WithoutRemovingPositivePosts	358	no	no	no	no	no	no	no	no	no	no	no	no	no	no	caution	unsure	no	no	no	indifferent	indifferent										
A14CB9NBMO0T3M	3MH9DQ757WDJJDLA8WFURIR5I3DGUV	WithoutRemovingNegativePosts	887	yes	no	yes	no	no	no	no	no	no	no	no	caution	yes	caution	caution	yes	indifferent	yes	indifferent	indifferent	indifferent	It's a great idea but the possibility of the experiment itself being hacked makes those who participate vulnerable.	It doesn't have a long term negative consequence. I think participabts should be told after though	It is a good idea but if their own information is hacked then that would leave those they were using vulnerable.	The possibility of misuse is there so precautions should be taken	Seems like a positive thing	I think it should be random and not based on who I care about.	It could help them see better how they may have a bias	I think it should be random and not based on caring. It does concern me that the information could end up in the wrong hands but this is much better than real targeted attacks	It seems like a good thing to show people so I wouldn't be concerned.	It seems like a good study and I don't think anyone I know would be negatively affected.
A14CPWFT35LU12	3Z4AIRP3C6EEW2P2VI5E42M3AW51X2	Control	222	yes	no	no	no	no	no	no	no	no	no	no	no	unsure	unsure	no	yes	no	no	no	no	yes								It sounds sketchy.		
A14CUGHBDKYY8H	3OLQQLKKNSQCLJEPQ2LSKDXIO3TEJ1	Twitter	792	no	no	no	no	no	no	no	no	no	no	no	caution	yes	yes	caution	yes	indifferent	yes	yes	no	yes	I wonder if the results from this research could be used to make spam email even worse than it already is									
A14D0L3FOHHNY8	3Z7ISHFUH0WLCX92VL2EGXPMW84Z8O	WithoutImprovingProduct	471	yes	no	yes	no	no	no	no	no	no	no	no	yes	no	yes	yes	unsure	yes	no	yes	yes	no										
A14DGM4RT0FRUQ	30H4UDGLT2J6JI902DEVUHO365YMP8	Twitter	2078	no	no	no	no	no	no	no	no	no	no	no	no	yes	yes	no	yes	no	yes	indifferent	indifferent	indifferent										
A14G74OGU7ADCS	304SM51WA357DJLV35SGB6IKHS8SBG	Twitter	1504	yes	no	yes	no	no	no	no	no	no	no	no	unsure	unsure	yes	caution	unsure	no	indifferent	yes	yes	indifferent	To be honest a lot of people know where to go to purchase what they need over the internet. With commercials and word of mouth there are a lot of different stores people can go to. I don't think in this day and age of hackers that anyone would purchase something from a pop up screen from a computer that is noy even theirs. 		To make people more aware of the dangers that are on the internet.	With a very aware eye yes cause these is information that needs to be know.	Unless you are working for the government the average end user doesn't need to know about computer security. 	To be honest a lot of people know where to go to purchase what they need over the internet. With commercials and word of mouth there are a lot of different stores people can go to. I don't think in this day and age of hackers that anyone would purchase something from a pop up screen from a computer that is noy even theirs. 		To show them how to be smart over the internet	The Study would show how much people would fall from such an attack so that we can educate people on how and what to look for.	It is not as important to me as the first one was. You just want to see how people react to a security warning.
A14H1GFX4XY08K	3L2IS5HSFAJPT52WV0SPH202JKAUN2	WithoutImprovingProduct	377	no	no	no	no	no	no	no	no	no	no	no	yes	caution	caution	unsure	unsure	no	yes	no	no	no										
A14I6WH9GOEWAY	3ZAK8W07I4FM89APUUQR6Q4PBJ90UR	Twitter	347	no	no	no	no	no	no	no	no	no	no	no	caution	yes	caution	caution	caution	indifferent	yes	indifferent	indifferent	indifferent			It seems like all the bases are covered. If there are no passwords actually been saved or stolen, but I feel like participants would need a lot of reassurance of this fact. 							
A14IR7TO5YHC6J	3S0TNUHWKTJI9W4633DHP56J8G0D8P	NoAdvertising	1481	no	no	no	no	no	no	no	no	no	no	no	unsure	unsure	unsure	no	unsure	no	no	no	no	no	I'm concerned with how infecting one computer results in spam going to multiple e-mail addresses.  Most people use web mail.  Is this one infected machine causing multiple web mail accounts to be infected?  Also, I'm concerned with the participants believing they have purchased things when they haven't.  This could cause the participants harm when the purchased item doesn't ever arrive.	It depends.  Do the participants know this is being done to them?  The description doesn't say.  If they are telling people what the experiment will do then sure they should be allowed.  Otherwise, no, they should not.	Not enough information is given to decide.	No. Not unless they also get permission from the facebook friend who supposedly sent the phishing e-mail.  I have no other objections.	I don't know enough about the "false warning" to decide.  If I got a security warning on my computer there is a good chance I would try to do something about it.  Doing that when there is no real problem could harm my computer.	Will this allow that person's e-mail to become infected?  I don't understand how they will infect only one computer yet the result will be spam in the e-mail of multiple users.  I also have a problem with people believing they have bought something when they really haven't.  What if they have a genuine need for the item "purchased"?  This could cause harm to the participant.	They will miss out on news from their friends.  Possibly they will miss out on info I want them to know.	I don't know enough about what the researchers will do to agree.  I need more information.	Not unless the researchers also get permission from the "friend" on facebook.  Otherwise their experiment could harm the relationship between the two people in the time between the phishing e-mail is sent and it's revealed to the participant that it was part of an experiment.	The false warning could cause the participant to take real action that would be harmful to his/her computer.
A14JTV2IB56C14	3A9AA95ATWN8BBOUAEX9DFDHKD2P5L	NoAdvertising	1921	no	no	no	no	no	no	no	no	no	no	no	no	yes	unsure	no	unsure	no	indifferent	indifferent	no	indifferent							If the results were to remain anonymous, I wouldn't care either way		Too much impersonation	
A14NPQJGNAS03F	36H9ULYP62V4RXELLD5Y2VII0D3FJX	WithoutRemovingNegativePosts	668	no	no	no	no	no	no	no	no	no	no	no	no	no	caution	caution	no	no	no	yes	yes	no	Just do a survey like this. Its false advertising.	Facebook is a personal page to express ones life		If they fully explain things to the participants and use it as a warning tool	It's misleading	I don't agree with it.	That would make them seem like complainers to their friends	So people think twice about divulging passwords	Because they should be warned not to open such messages	They may panic and believe something is wrong
A14NUNJVFHA4TO	374TNBHA8BWRDBZTLTHVOH1KKDJQYI	WithoutRemovingNegativePosts	412	yes	no	no	no	no	yes	no	no	no	no	no	caution	unsure	yes	yes	yes	no	no	yes	no	indifferent	Allowing someone to have root access to your machine that you don't personally know is never a good idea.							I think it could be a good educational experience for them.		
A14PDOZ4XSHTX1	3DL65MZB8DGPD58JGA46X9KNYNAECL	NoAdvertising	365	no	no	no	no	no	no	no	no	no	no	no	caution	yes	no	no	yes	no	indifferent	no	indifferent	indifferent	It is their computer their risk	Its already know that positive breeds positive.	We already know some people fall for this in the real world. What is the point of measuring it?			Spam mail sucks	I dont use Facebook anymore			
A14PMN35FK9SOD	3JJVG1YBEBY67HNKR9F8IV8S37V5BK	WithoutRemovingPositivePosts	793	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	yes	no	no	no	no	yes	Maybe this could help to get rid of spammers	invasion of privacy	One of the researchers might use the information for their own personal gain.	I don't think the information obtained would be beneficial to anyone except people who would profit from it somehow.	I would like to see this helping with internet security.	I would not want their private purchasing seen by others.	It is none of anyone's business what is on anyone's facebook page if you are not invited	People are not to be trusted even if they say are doing it for research.	I don't think this a legitimate research. There is no reason to do this.	This would be good information to have
A14RER0RE0QFRH	3RXCAC0YIRQLLGEX5TEPVQ9GL8N8G1	Control	774	yes	no	yes	no	no	no	no	no	no	no	no	caution	no	caution	yes	yes	yes	no	no	yes	yes	Seems intrusive. I still would like participants to know at least at the end of the survey when results are gathered to prevent further cases of spam. 					I'd eventually want them to know that they were in fact using spam but I'm okay with a close person becoming a participant. 	Do use Facebook. Extremely intrusive with data. 	Passwords are extremely confidential.		Hopefully study can help people to take better steps when presented with warning. 
A14SNQOYGXPZ7K	3NS0A6KXC4905CFKEJE28A6KKH4GZO	Twitter	1802	no	no	no	no	no	no	no	no	no	no	no	yes	yes	no	yes	yes	no	yes	no	yes	yes	This experiment doesn't look harmful to normal users.		Sooner or later, hackers will present themselves as researchers and use the same trick to steal user passwords.			I would prefer someone I don't know, to take part in such experiments.		What surety do you have that these people are genuine researchers?		
A14VY6QXKBLC0D	34J10VATJFZ5NBKOHBVS2T7WURVIQ8	Twitter	681	yes	no	no	no	yes	no	no	no	no	yes	no	caution	no	yes	caution	yes	indifferent	no	yes	yes	indifferent	I believe that the researchers should notify participants of the project after their participation is complete (i.e. provide full disclosure after the person visits the web store)	Social media's purpose is free expression, and this experiment would limit that	I feel that, with the disclosure after the experiment, this is useful and ethical	The researchers must be sure that no data breaches occur in their gathering/verification of passwords.  Also, disclosure must be credible and prompt after the experiment.	I see no ethical issues or negative consequences to this research	While I think the deception does have some ethical ramifications, I do not see any harm caused by participation.  	I do not believe it is right to alter someone's content that they have written without their knowledge	I believe that this project is beneficial for the researchers, but also provides a learning opportunity about what to be on the lookout for for participants	I believe that this increases knowledge of phishing, thus offering the opportunity to prevent it, while also teaching the participants a lesson on how to avoid being phished.	I see no ethical issues or negative consequences to this research
A14WLAP6TCEKO0	3IAEQB9FMELTZX0O16TN3L95QNUDWV	WithoutRemovingNegativePosts	534	yes	no	no	no	no	no	no	no	no	no	no	yes	caution	caution	yes	caution	yes	indifferent	no	yes	indifferent	Assuming the researchers are performing this experiment with the rigor and ethical action, I see no reason why they should not proceed.					As long as no sensitive information about the participants are recorded or kept, I see no reason why they should not participate.				
A14WR458IGVH3V	3VZLGYJEYLBBRYAA3TE6WW6FNBBZXI	NoAdvertising	814	yes	no	yes	no	no	no	no	no	no	no	no	yes	unsure	yes	caution	caution	yes	no	yes	no	yes	There is no privacy issues and there is no data collected that infringes on the participants. 	I feel there needs to be different method to be utilized to conduct this study. 	I think this study will be useful in helping to protect people from hackers and id theft online. 	They should just devise some other type of phishing email, rather than use the user's friends info. 	I think as long there is no harm done, the study should be acceptable to conduct as long as it is carefully done and explained clearly. 	I see no harm in this. 	I feel it is unethical and invasive to with hold what kind of posts one sees from thier friends. 	I think the results are beneficial and will be for the good of the public. 	I feel umcomfortable with how they will obtain information about friends, I feel this study while, well meaning should reconsider. 	I think the data is useful and the results could be used in a meangingful manner. 
A14WXO5A2E0J75	3Z4XG4ZF48SW729NU3ETJC9BOY58XF	WithoutRemovingNegativePosts	701	no	no	no	yes	no	no	no	no	no	no	no	caution	no	caution	caution	caution	indifferent	indifferent	indifferent	indifferent	indifferent										
A150NFHME4R69D	3R0T90IZ1SDNXJ4AM5UUXC5ZB58GCR	InsertPosts	5956	yes	no	yes	no	no	no	no	yes	no	no	no	no	no	no	caution	yes	no	no	no	no	yes	I'm saying no, as it is in my opinion that it directly affect the way how people learn.  As you would be if you were not careful in effect re-conditioning a person in-directly by manipulating their environment. 	Again, if your going to do something like- it should be done in a controlled environment, not on a major social media website, where there is melee going on all the time. 	Basically it's not cool to play with people's heads- not when there is a certain level of " Innocent Ignorance" and money involved. With it in the end, backfiring. Again, people and money, not a good mix, and at times can be quite volatile. 	I would hesitantly say yes, but only if the research was done in a controlled environment- with eh participant being told- and allowing them to make that decision.  	I believe that researchers should be allowed to proceed, as the results would be more honest- with not getting tainted results as a result of the respondent, responding the way how they should if no deception was involved. 	Believe it or not, the internet is still a very new and scary place for most people. who again, have a major problem with differentiating, fact from fiction. So I if want someone to actually know the difference between how a site truly properly functions and what links to click on in an email, or not click on... I think that I would be doing a severe disservice to that person by hindering their learning curve on the common practices of properly conducting myself on the internet if I were to allow them to take place in such a study.   		I say know no, as there is deception involved, with you never giving the person a chance to lessen that type of behavior, by first providing adequate training on the proper practices of it.  I  say this as this is economically related- and can adversely affect a person's life.  So your going to want to train/ test them, and then do a controlled study on whether those practices were adhered to or not. 	Sounds like a recipe for chaos to me, and if I actually cared about the person, I would not involve them in that. And again by way of educating them, I would teach them what to look out for when being on the internet/ responding to emails etc...	Sometimes people cannot properly identify the difference between when they are doing something correctly or incorrectly. Especially if, they do not listen to others when others try to correct them.  So conducting an experiment such as this, may help people who fall into that category as it will cause them think and reassess their current security practices, on their own with the end result being that they will realize the error of their ways and make changes. 
A152NHVZYNT1P3	3A4NIXBJ760GSXU2ALLOD0FJ13MLME	InsertOnlyPostiveposts	469	yes	no	no	no	no	no	no	no	no	no	no	unsure	yes	unsure	caution	caution	no	indifferent	no	no	no		I don't see any harm in it either way.								
A155L75ZZ2GVV	3TXMY6UCAEPEA8YOP1Z6RQ91HQ8QCJ	WithoutImprovingProduct	764	no	no	no	no	no	no	no	no	no	no	no	caution	no	unsure	unsure	caution	indifferent	no	no	indifferent	indifferent										
A1560PUBNY4SFQ	37FMASSAYCSIJ5IZYTY274CX8VHIBR	WithoutImprovingProduct	927	no	no	no	no	no	no	no	no	no	no	no	caution	unsure	no	caution	unsure	yes	yes	no	yes	no			Same as above. 	Yes, but with caution. Like I stated above, the party involved in the research should have to be accountable to someone, and have their work checked out. 	I know that it would be hard to conduct a proper scientific experiment otherwise. 			Even if they said they wouldn't store them, they could still get hold of someone's password. Many times people use the same password for many things. 	Yes. While it seems dangerous, if the party researching is under careful observation, I would be okay with conducting an experiment. This is a hard subject to really get good information on.	I would not want a friend to think their computer was at risk, it is stressful to have computer problems.
A15781PHGW377Y	3NL0RFNU0FOP41NEJH9RC6L4Q3I4K3	NoAdvertising	2759	yes	no	yes	no	no	no	no	no	no	no	yes	no	unsure	caution	no	yes	no	no	no	no	indifferent	this is an accident waiting to happen. for one, spam is criminal.\r\nwho would accept liability for this experiment? the NSA?	this would be have to be without the users knowledge or with some broad opt in\r\nor more likely you are opted in if you fail to opt out to be effective.\r\nmany privacy statements could already cover such an agreement already!\r\n	results should be presented in such a way that it won't read like an updated hacker 101 ebook. we already know some percentage of users will fall for some trick or will expose their passwords and user names in obvious ways.\r\nposing as a researcher would be an excellent ruse.			I wouldn't want my friend exposed to a virus to see if they could be infected either. not on computer and most definitely not in real life.		they will find enough willing participants, I would save my friend the angst of knowing how gullible they were.	most people have seen these emails and been tempted by them.\r\none coming from a friend or a known company would hit a little too close to home.	different people react differently when they realize the deception.\r\na mock security threat might just be the thing some people need to start to take the security of their data more seriously.
A157MPD27GOA1U	3HPZF4IVNMUNJAPAGBG04CC3G4XCYQ	WithoutRemovingNegativePosts	471	yes	no	yes	no	no	no	no	no	no	no	no	no	yes	caution	no	yes	no	yes	no	no	yes	We don't need this study, it's stupid, would rather see important research.	Sure, it would be interesting to see the mood of those participating.	Maybe only a few people, but not too many because bad things with real passwords could happen if that info was stolen.	These are people's real accts and the researchers, we don't know what they will do with that info, and it said they would actually login to the accts.	There is no real risk here so sure, I want to see how dumb people are.		I don't care about positive or negative on Facebook so why not?	We don't know the passwords won't be stored or used in any manner, I don't trust it.	I would not want someone giving out their real information to a phishing website for "a study"	There is no real risk, I would love to see if people actually follow the warning or not.
A15C96Z8TZEV6D	3Q8GYXHFEP3PHMFQ59B3TFEALQQ5CI	WithoutPublication	483	no	no	no	no	no	no	no	no	no	no	no	yes	unsure	unsure	no	yes	no	yes	indifferent	no	yes	It seems like a good start for having more technical ways to stop spam.	I don't really see the point. It seems like a waste of the research team's time.	It doesn't seem as if any good will come of it. They won't be able to tell people how to recognize these attacks.		Improving security warnings is important. This seems like a good way for researchers to find ways to improve them.		It doesn't harm anyone.	Their passwords aren't being stolen-- and to be honest these government hackers could do it regardless.	Once again, what is the point? These researchers won't be able to help victims from falling prey.	Participants aren't exposed to any risks.
A15EZ4T4Q4DYR9	3BV8HQ2ZZW2X7BI6QEPHFQ2MHRR6AQ	WithoutRemovingNegativePosts	432	no	no	no	no	no	no	no	no	no	no	no	unsure	yes	caution	no	unsure	no	indifferent	yes	no	indifferent		I see no reasons why not.  It might be mildly irritating to see so much negativity, but not damaging.	They shouldn't even have users input real passwords.	It seems fairly unethical.	It seems like many participants would just return the HIT with the present security risk.	There seems to be no process for consent.	It doesn't seem dangerous, nor particularly useful.	It seems like a useful, and not dangerous study.	There's no pre-consent.	
A15K0L6NGQXOM0	3EO896NRAWWEA2WMGXANJZXJRFCTJ6	WithoutRemovingPositivePosts	12837	yes	no	yes	no	no	no	no	no	no	no	no	no	no	unsure	no	unsure	no	no	no	no	indifferent		No, because if they do this with positive messages, what is to stop them from using negative posts to manipulate people?					I don't think peoples emotions should be manipulated this way.		This is too much of an invasion of privacy for my taste.	I don't see this as too big of a deal, as long as it is laid out in understandable terms at the end of the experiment.
A15PCAZ8WUG7BG	3DZQRBDBSLG2AOHIOCDATNK8T1HS3D	WithoutRemovingNegativePosts	681	yes	no	yes	no	no	no	no	no	no	no	no	unsure	yes	yes	caution	yes	no	indifferent	indifferent	no	indifferent										
A15PHL4MXNUMJ5	3YOH7BII098OYE6T3DAELWLH3XDKVD	Twitter	1774	yes	no	yes	no	no	yes	no	no	no	no	yes	yes	caution	yes	caution	yes	indifferent	indifferent	indifferent	indifferent	indifferent	This experiment seems capable of providing valuable information with minimal risk for participants. I recognize the privacy concerns that may exist with this study, but I feel potential benefit is worthwhile. 	I understand how this study could be perceived as morally problematic, given that it is effectively an effort to manipulate the emotions of service users. However, the impact of Twitter on mood is bound to be marginal at most, so I sense that the benefits would outweigh the drawbacks. 	This seems like the best possible way to analyze how people respond to common tricks used by hackers, especially if the researchers do not actually store the passwords they collect. 	For one, I find it hard to believe that there might be a real university out there willing to participate in this. I am primarily concerned about the researchers being able to safeguard the password collection they aggregate. There are countless examples of hacking compromising theoretically-secure networks. If the researchers could assure me that they had appropriate safeguards in place to protect the passwords, I would be inclined to approve the study.	Studies like the one described above are conducted all the time. As an MTurk worker, I participate in surveys using this format all the time. Some of the most notable psychological studies ever were conducted in this fashion. I think it is empirically clear at this point that studies using this format can be conducted in a ethical, beneficial manner. 	This experiment seems to confer no particularly harm or benefit, so I wouldn't particularly care if a family member of mine participated. 	Again, this study does not seem harmful or beneficial, at least on statistical average. One imagines that the impact of Twitter on mood, if any, would be very small. 	Again, the risks and benefits to participation seem minimal. I would not care about a loved one participating. 	Again, I think there is little risk or benefit to any of the paricipants, particularly if the collected passwords are disposed of after the study. I wouldn't be bothered by a loved one participating. 	Again, the risks and benefits to participation both appear to be very small. I would ambivalent about a loved one participating. 
A15TTUSP9QMNX5	3N1FSUEFL51HQVH4R0N48TQE6XG4DR	InsertOnlyPostiveposts	1180	yes	no	yes	no	no	no	no	no	no	no	no	caution	unsure	caution	caution	yes	yes	no	no	no	indifferent	Since there is a lack of communication between the researchers and participants, I would proceed with caution as it might upset some of the unknowing people.	I'm not sure it is wrong or overly deceptive but seems like it could have some negative consequences with the users of facebook.	As long as its done in a very secure environment where there is no chance of the passwords getting into the wrong hands, I think it would be a valuable research project.	I think this is valuable information and would like to see it carried out over a controlled group of people that could handle the consequences of participating in the experiment. 	I don't see any risk other than some deception but since the purpose will be explained at the conclusion I have no issue with the experiment.	I would want this exposed and possibly prevent someone I cared about from making a questionable purchase.	I think this could possible alter someone's mood and I would not want someone I care about to experience that (even if its for a positive mood).	Even though there is no bad motive for trying to collect the passwords, I would still be worried that they could fall into the wrong hands.	I think this could cause distress and future worry to where people would begin to unnecessarily begin to question everything that gets sent to them after the experiment is over. 	I think this may or may not produce valuable results but would not have a problem letting people go through the experiment because it seems secure.
A15URDDVKL570N	37WLF8U1WPR3JORS2526945IMW46KA	Twitter	562	no	no	no	no	no	no	no	no	no	no	no	caution	yes	yes	yes	yes	indifferent	indifferent	yes	indifferent	indifferent	Accessing spammers' stuff could result in spammers accessing the researcher's stuff.						If they want to be a part of research that is fine, if they don't, that would also be fine with me. No preference.	Voluntary participation.		
A15V7E49Q6C15V	3SBEHTYCWN4EWDBA8LCMFFAYT9DIYU	InsertOnlyPostiveposts	624	no	no	no	no	no	no	no	no	no	no	no	caution	yes	caution	caution	caution	indifferent	indifferent	indifferent	indifferent	indifferent										
A15VE0YSMOZEEW	3AAJC4I4FGTAWE5LMPZ55NY0CEWZJW	UnnamedCompany	1204	no	no	no	no	no	no	no	no	no	no	no	no	yes	caution	no	yes	yes	indifferent	indifferent	no	indifferent	See comment on last question	No harm, but seems of very little real value in terms of the understanding it provides.	Security to ensure the passwords are not used for nefarious purposes is vitally important.	Too much exposure to highly sensitive data, with little concern expressed for security concerns of the study itself.	I don't see any harm. Although, I think most MTurk participants will ditch any HIT where they encounter a security warning of any kind.	The description of the survey is not clear in what will or will not be retained. Specifically, "The researchers will NOT inform users who visit the store to make a purchase that the store has been disabled or that their choice to make a purchase is being recorded" appears to state that that the data will be collected on the purchase (double negative).	It seems silly and of little real value, but I would not be concerned for anyone participating in the survey.	I would not be concerned if they participated, but it would be up to the individual to decide.	Too much exposure on sensitive passwords like bank accounts, and too much room for the data obtained to be used against the participant no matter the security measure in place. 	I would not be concerned if someone I cared about participated, but it would be up to that person to decide.
A15W0YY71Z9XWV	39GHHAVOMFSUTHHW1W9FBRLRBHOJ4V	NoAdvertising	413	no	no	no	no	no	no	no	no	no	no	no	no	caution	no	yes	caution	no	yes	indifferent	yes	indifferent										
A15Y07BOFR7M3P	3GA6AFUKOOPDKF32DI1BP9D6KNHH3S	NoAdvertising	348	no	no	no	no	no	no	no	no	no	no	no	unsure	no	yes	unsure	yes	indifferent	no	indifferent	indifferent	no		Facebook shouldn't control your newsfeed to manipulate you. 		This seems pointless and stupid. The results wouldn't amtter. 			I wouldn't want to do this			It seems useless.
A15YKNI2MBQIJS	3M0NZ3JDP1Z2PFQ0XNVB4DFVUC7Z5E	UnnamedCompany	486	yes	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	indifferent	yes	yes	yes	yes	Having impperical data about spam purchases might help educate the population.	I am interested in how the moods of others influence us in a virtual environment.	It is a valuable study, hopefully teaching people what not to do.	People need to learn what not to do on the internet.			It is an interesting experiment.	I would want the people I cared for to learn to better protect themselves.	Phishing is a terrible problem. We needto study it in order to stop it.	Improving the effectiveness of security warnings is something I want people I know to learn about.
A15YTIWZKCPEO8	33F859I566EINA7FSBGH7SBI8J7HB4	UnnamedCompany	609	no	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	yes	indifferent	indifferent	yes	yes										
A1614EW9OY4IQ0	3TYCR1GOTCKGR4TLPABIL2BSGYQLZZ	NoAdvertising	203	no	no	no	no	no	no	no	no	no	no	no	caution	yes	yes	yes	yes	yes	yes	yes	yes	yes								I think it's worth it to learn how you can protect yourself against password hackers. 		
A162C0YNDS1CPK	31N2WW6R9RRT6JCWISDBMO1T4B63FO	InsertOnlyPostiveposts	463	no	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes				People, students especially, need to be aware of these things and the harm they can do. 						
A162NWY3K8UJSQ	3LRLIPTPEQA46Q3VSIJIP974IIYAKE	NoAdvertising	305	no	no	no	no	no	no	no	no	no	no	no	caution	yes	caution	caution	yes	yes	yes	yes	yes	yes										
A162XXPF5DXJIF	3PJUZCGDJ6H666RPRN8F39NTHWS89C	WithoutPublication	436	no	no	no	no	no	no	no	no	no	no	no	unsure	caution	caution	unsure	yes	no	indifferent	indifferent	no	indifferent										
A163J5TEJBO43B	3PJ71Z61R43OV674S2Z0OZ0L3PD19A	WithoutImprovingProduct	2113	no	no	no	no	no	no	no	no	no	no	no	yes	yes	caution	caution	yes	indifferent	indifferent	indifferent	no	yes	Having inside knowledge of these types of attacks/viruses would give us a greater likelihood of being able to stop them completely.	Researchers should be allowed to proceed with any experiment as long as it doesn't directly hurt somebody on purpose.	It would need to be monitored closely to make sure no passwords were recorded or collected.	It would help to be able to stop the attacks if the general consumer could learn about their nature through the universities experiment.	It shows the participants the benefits and risks of using/not using proper online security.				I would not want them to be phished and have their information taken, even if it was for a legitimate experiment by a recognized university.	It's a safe study and will teach them new and better techniques for handling their online security.
A1647JP5J4VTKQ	3F6KKYWMNB23C3RA952072WEXE8ND2	WithoutImprovingProduct	1455	yes	no	yes	no	no	no	no	no	no	no	no	yes	yes	yes	caution	yes	indifferent	indifferent	indifferent	indifferent	indifferent				Using facebook as a reference to friends is a little intrusive, but again, a necessary evil in my opinion.		Again, annoying, but for a good reason	It would be mildly annoying for my friend, but wouldn't have any real problem with it.			
A165NT5C5RXGJQ	3JMSRU9HQIVLCEEJ7RZBN18CJ2GEVQ	InsertPosts	603	yes	no	yes	no	no	no	no	no	no	no	no	no	no	unsure	no	caution	no	no	no	no	indifferent								don't like the idea of them being asked to type their passwords	would not want them to type their passwords	
A1662KZ3DCOHHJ	3KOPY89HM839BLYS1I4W1MTLXPAJ38	Control	620	no	no	no	no	no	no	no	no	yes	no	yes	no	yes	yes	no	yes	no	indifferent	indifferent	no	indifferent	The subjects of the experiment are not being given a chance to give informed consent. The study is unethical.	Again, as long as it's conducted ethically, I see no reason not to do so.	It's a valuable thing to research.	There are so many ethical breaches here. So many.			As long as they're adequately informed about the experiment's methods and parameters, it's entirely their choice.	It's entirely their choice. The experiment isn't likely to hurt them, and may make them more aware of security issues via the debriefing.		
